Sirpca,Turkce
Izvoli,Buyur / İşte (bir şey verme)
Izvolite,Buyurun
Izvolite što želite,Buyrun ne istersiniz?
Izvor,Kaynak / Bilgi kaynağı
Izvora,Kynaklar (genitiv)
Izvori,Kaynaklar / Haber kaynakları
Izvršavanja,Gerçekleştirmenin (genitiv)
Izvršavanje,Gerçekleştirme / İcra / Uygulama
Izvršenje,Gerçekleştirme / İşleme
Izvršilac,fail / Suç işleyen
Izvršilaca,Uygulayıcıların / Çalışanların / Pozisyonların (genitiv) (erkek)
Izvršio,İşledi (geçmiş)
Izvršioca,Failin / Faili (genitiv) (akuzativ)
Izvršiti,Rol yapmak (fiil)
Izvršnog,Yönetici
Izvršnost,İcra kabiliyeti
Izvuči,Çıkarmak
iskoristimo,Kullanmamız (biz)
ispod,Altında
ispuniti,Doldurmak / Tamamlamak (fiil)
iznos,Tutar / Miktar (genitiv)
iznosu,Tutarın / Miktarın (genitiv)
izraz,Ifade / Deyim
izrazima,Ifadelerle / Deyimlerle
Jеdnom / Jednokratno,Bir kere
Jаstuče,Yastıklar
Jаstuk,Yastık
Jаstukа,Yastıklar
Jаvljam / Pozovem,Ararım
Ja,Ben (şahıs zamiri)
Ja volim tebe,Seni seviyorum
Jabuka,Elma (meyve)
Jabuke,Elmalar (dişi)
Jabuku,Elmayı (kadın) (akuzativ)
Jačamo,Güçleniyoruz
Jačanja,Güçlendirme (nötr) (genitiv)
Jačanje,Güçlendirme
Jačanju,Güçlendirilmesi (dativ) (lokativ)
Jačina / Jačine / Snagu / Snage,Kuvvet
Jadranski,Adriyatik
Jadranski put,Adriyatik yolu
Jagneće,Kuzu etinden yapılmış
Jagneće meso,Kuzu eti
Jagnjeće,Kuzu
Jagnjetina,Kuzu eti
Jagoda,Çilek (meyve)
Jaja,Yumurtalar
Jaja sa sirom,Peynirli yumurta
Jaje,Yumurta
Jak,Güçlü
Jaka,Güçlü / Dayanıklı (dişi)
Jaka kao čelik,Çelik kadar güçlü
Jakna,Ceket (kadın)
Jakne,Ceketler (kadın)
Jaknu,Ceketi / Montu (akuzativ) (kadın)
Jaknju,Ceketi / Cekete (belirtme hali)
Jako,Çok / Şiddetli (konuşma dili)
Januar,Ocak (ay)
Januara,Ocak ayının / Ocağa (ay) (genitiv)
Japanac,Japon (erkek)
Japanci,Japonlar (erkek)
Japanka,Japon (kadın)
Japanke,Japonlar (kadın)
Japanski,Japonca
Jas,Ben
Jasan,Açık / Net / Belirgin (erkek)
Jasno,Açıkça / Net bir şekilde (zarf)
Jastucnica,Yastık kılıfı
Jastučić / Jastuk,Yastık
Jave se,Başvursunlar (onlar)
Javi se,Telefona cevap ver
Javiš,Sen ara
Javite,Bildirin / Haber verin
Javite nam,Lütfen bize bildirin
Javiti se,Haber vermek / Ortaya çıkmak (fiil)
Javlja,Bildiriyor (o)
Javljam se,Haber veriyorum (ben)
Javljam ti se,Sana haber veriyorum
Javljamo,İletişime geçmek
Javljamo ti se,Sana haber veriyoruz (biz)
Javljati,Bildirmek (fiil)
Javljati se,Cevap vermek / haber vermek / Başvurmak (fiil)
Javna,Kamu / Halka açık / Kamusal
Javni,Kamuya açık / Halka yönelik / Toplu
Javni poziv,Kamu çağrısı
Javni servis,Kamu hizmeti
Javnih,Kamusal (çoğul) (genitiv)
Javnoj,Kamuya / Kamu (dativ) (lokativ)
Javnost,Halk / Kamuoyu / Toplum (kadın)
Jaza,Açıklık
Jazz muzike,Caz Müziğinin (genitiv)
Je,Dır / dir (ek)
Je li,Bu ... mi (soru)
Je li je to sve?,Bu kadar mı?
Je li to sve,Hepsi bu mu? / Bu kadar mı?
Je sačinjena,Hazırlanmıştır
Jedan,Bir (erkek) (sayı)
Jedan,Bir (sayı) (erkek) (nominativ) / Birini (akuzativ)
Jedan od dva,Ikisinden biri
Jedan smjer,Tek yön
Jedem,Yerim (ben)
Jedete,Yiyorsunuz (siz)
Jedini,Tek bir
Jedinica,Birim / Şube
Jedinicama,Birimler
Jedinice,Birimler
Jedinici,Birime (dativ)
Jedino,Tek / Yalnızca / Sadece
Jedinstven,Tek / Birleşik / Benzersiz
Jedinstveno,Birleşik / Bütünleşik
Jedinstvenom,Tek ... / ile / ... de (dativ) (lokativ)
Jedna,Bir (kadın) (sayı)
Jednakih,Eşitlerin
Jednako,Eşit olarak
Jedne,Bir / Bazı / Belli bir
Jednim,Bir (sayı) (instrumental) (erkek) (nötr)
Jednina,Tekil
Jednine,Tekiller
Jedno,Bir (sayı) (nötr) / Birini / bir şeyi (akuzativ)
Jednog,Birini / Bir şeyi (akuzativ)
Jednokratni / Jednokratna,Tek kullanımlık
Jednokrevetna,Tek yataklı / Tek kişilik
Jednom,Bir kez / Bir defa
Jednosoban,Tek odalı
Jednosobni / Jednosoban,Bir yatak odası
Jednospratna,Tek katlı (ev)
Jednostavan za rukovanje,Kullanımı kolay
Jednostavna / jednostavan,Basit
Jednostavno,Basitçe
Jednostavno rješenje,Basit çözüm
Jednu,Bir (akuzativ) (kadın)
Jedre,Yelken açıyorlar (onlar)
Jedriličar,Denizci
Jedrimo,Yelken açıyoruz (biz)
Jedriti,Yelken açmak / Yelkenliyle gitmek (fiil)
Jeftin,Ucuz (sıfat)
Jeftino,Ucuz / Uygun fiyatlı
Jela,Yemekler / Yemeğin
Jelke,Noel ağaçları
Jelo,Yemek / Yiyecek / Yemek çeşidi
Jelovnik,Menü / Yemek menüsü / Yemek listesi
Jer,Çünkü (bağlaç)
Jesen,Sonbahar (mevsim)
Jesi li,Misin? (soru)
Jeste,Evet / Doğru / Öyledir / Aynen 
Jesti,Yemek yemek (fiil)
Jesti,Yemek yemek (fiil)
Jesu,-dir (vurugulu / Gerçekten anlamı katar
Jesu li,Onlar mı (soru)
Jezero,Göl
Jezerom,Göl aktivitesi
Jezeru,Gölde (lokativ)
Jezici,Diller
Jezik,Dil (Yabancı dil)
Jezika,Dilin  (genitiv)
Jezike,Dilleri (akuzativ)
Jeziku,Dile / Dilde (lokativ) (dativ)
Joga,Yoga
Jogu,Yogaya
Jogurt,Yoğurt (nominativ)
Jogurta,Yoğurdun / Yoğurdu (genitiv) (akuzativ)
Jogurtom,Yoğurt ile / yoğurtla (instrumental)
Joj,Onun (dativ) (kadın)
Jorgan,Yorgan
Još,Daha / Hala / Yine / Bir kez daha / Başka
Još jače,Daha da güçlü
Još jedno pitanje,Bir soru daha
Još jednom,Bir kez daha
Još neki,Başka bir (soru)
Još snažnije,Daha güçlü şekilde
Još uvijek,Hala
Još više,Daha fazla
Jubileja,Jübile
Juče,Dün
Jug,Güney (yön)
Jugoistočne,Güneydoğu (yön)
Jugoistok,Güneydoğu (yön)
Jugoslovenskih,Yugoslavya
Jugozapad,Güneybatı (yön)
Jugozapadu,Güneybatısında (yön)
Jugu,Güneyinde (yön)
Juha,Çorba
Jul,Temmuz (ay)
Jula,Temmuz'un / Temmuz ayının (genitiv)
Julu,Temmuz ayında (lokativ)
Jun,Haziran (ay)
Juneća,Dana etiyle ilgili
Juneća rebra,Dana kaburga
Juneće,Dana etiyle ilgili (nötr)
Juneći,Dana etiyle ilgili (erkek)
Juneći but,Sığır bacağı
Junećom,Sığır eti
Junu,Haziranda
Jutarnji,Sabahki / Sabahın (sıfat)
Jutarnjim,Sabah (çoğul) (dativ)
Jutro,Sabah
Južne,Güney
javljati,Bildirmek (fiil)
jesenjim,Sonbahar (çoğul) (lokativ)
Kајmak,Krem / Kaymak
Ka,-e doğru / -e yönelik (edat)
Kabala,Çete
Kabina,Kabin
Kabine,Kabinler
Kabinet,Hükümet Kabinesi / Bakanlar Kurulu / Çalışma odası / Küçük ofis odası
Kabineta,Çalışma odasının  (genitiv) 
Kabinetu,Çalışma odasına (dativ) / Çalışma odasında (lokativ)
Kabl,Kablo
Kačamak,Kaçamak (kahvaltılık yemek) (erkek) (kuymak benzeri)
Kad,Ne zaman (günlük konuşmada)
Kad stigneš,Ulaştığında
Kada (I),Ne zaman (resmi konuşmada) / olduğunda / -dığında
Kada (II),Küvet
Kade,Küvetler
Kadu,Küvet
Kafa,Kahve
Kafa sa mjileko,Sütlü kahve
Kafić,Kafe
Kafu,Kahve (akuzativ)
Kaj je,Naber
Kajati se,Pişman olmak (fiil)
Kajmak,Kaymak
Kajsija,Kayısı (meyve)
Kaju,Pişman oluyorlar (onlar)
Kakaom,Kakaolu
Kakav,Nasıl da / Ne tür (erkek) (nötr) nesne kişi niteliği sormak için
Kako,Nasıl (soru) durum veya eylemi sormak için
Kako bi,Nasıl ... (amaç belirten bağlaç)
Kako je,O nasıl (soru)
Kako sam,Nasılım (soru)
Kako se prezivate,Soyadın ne
Kako se sumnja,İddiaya göre
Kako se zoveš,Adınız ne
Kako si,Nasılsın (soru)
Kako smo,Nasılız (soru)
Kako ste,Nasılsınız (soru)
Kako su,Onlar nasıl (soru)
Kakrc na,Beğen
Kakva,Nasıl da (kadın) / hayret ifadesi
Kakvi,Ne tür
Kakvo,Nasıl (nötr)
Kalendar,Takvim
Kalendarima,Takvim (çoğul) (instrumental)
Kamata,Faizlerin (genitiv) (kadın)
Kamikaze,Kamikazeler
Kamilica,Papatya
Kamo,Nereye (zarf)
Kampa,Kamp
Kanada,Kanada
Kanade,Kanada'nın (kadın)
Kanađani,Kanadalılar
Kanađanin,Kanadalı (erkek)
Kanađanka,Kanadalı (kadın)
Kanađanke,Kanadalılar (kadın)
Kanala,Kanallar
Kancelarija,Ofis / Büro
Kancelariji,Ofiste (dativ) (lokativ)
Kancelarijska,Ofis ile ilgili
Kandidat,Aday
Kandidata za gradonačelnika,Belediye başkanı adayı (erkek)
Kandidate,Adaylar
Kandidati,Adaylar
Kandidatima,Adaylara (dativ)
Kandidaturu,Adaylık
Kandit / Kandidata,Aday
Kanepeler,Kanepeler
Kanta,Çöp Kutusu
Kantri,Ülke (gayrıresmi dilde)
Kantri / Zemlya,Ülke
Kanjon,Kanyon
Kao,Gibi / Olarak / Kadar (edat)
Kao da se ništa nije dogodilo.,Hiçbir şey olmamış gibi
Kao i,Ayrıca / Yanı sıra
Kao i do sada,Bugüne kadar olduğu gibi
Kapa,Başlık
Kapacitet,Kapasite
Kapacitete,Kapasiteler (akuzativ)
Kapaciteti,Kapasiteler
Kapi,Damla
Kapital,Başkent
Kapučina,Kapuçino (erkek) (akuzativ)
Kaput,Palto / Kaban (erkek)
Karakter,Karakter
Karakterističnu,Karakteristik
Karakteristika,Karakteristik / Nitelik
Karakteristike,Özellikler
Karakteriše,Karakterize etmek
Karakteru,Karakterinize (dativ)
Karamelog,Karamel
Karar kabul edildiği gün yürürlüğe girer,Güne göre
Karavana,Karavan
Karfiol,Karnabahar (sebze)
Karirana,Kareli / Ekoseli (kadın)
Karirani,Kareli / Ekoseli (erkek)
Karirano,Kareli / Ekoseli (nötr)
Karneval,Karnaval
Karnevala,Karnavalın (genitiv)
Karnevali,Karnavallar
Karnevalska,Karnavalla ilgili / Karnavalsı
Karnevalsko,Karnavala ait
Karnevalu,Karnavalda (lokativ)
Karta,Harita
Kartama,Kartlar
Karte,Biletler
Karti,Harita üzerinde (lokativ)
Kartica,Kart
Kartice,Kartlar
Karticom,Kartla / Kart ile
Karticu,Kartı (akuzativ)
Kartona,Karton
Kartošije,Podgorica yakınında dağlık alan
Kartu,Bilet (akuzativ)
Kaserola,Güveç / Sahan
Kasi,kasaya (dativ) / Kasada (lokativ)
Kasir,Kasiyer (erkek)
Kasire,Kasiyerlere / kasiyerleri (dativ) (akuzativ)
Kasiri,Kasiyerler
Kasirka,Kasiyer (kadın)
Kaskader,Dublör
Kasnije,Daha sonra / Sonradan
Kasno,Geç
Kašica / Kaša,Yulaf lapası
Kašika,Kaşık (kadın)
Kašike,Kaşıklar (kadın)
Kašljati,Öksürmek (fiil)
Kašlješ,Öksürüyorsun (sen)
Katalogu / Katalog,Katalog
Katastar,Kadastro
Katastarske,Kadastro / Tapu (kadın) (genitiv)
Katastarski zapis,Tapu kadastro kaydı
Katastarsku,Kadastro (akuzativ) (kadın)
Katastra,Kadastronun (genitiv)
Katedrala,Katedral
Katedrale,Katedrali
Katedrali,Katedralde
Kategori,Kategori / Grup
Kategorijama,Kategorilere / Kesimlere
Kategorije,Kategorilerin (genitiv) (kadın)
Kategoriji,Kategori
Katolička,Katolik (kadın)
Katoličke,Katolik
Katolički,Katolik (erkek)
Katoličko,Katolik (nötr)
Kavkaska,Kafkas
Kavkaza,Kavkaza
Kazaljka,İşaretçi / İbre
Kazaljke,akrep ve yelkovan
Kazao,Söz konusu
Kazati,Söylemek (fiil)
Kazavši,Söyleyerek
Kazivati / Reći (perfekt) / Rećite,Söylemek / Demek (fiil)
Kaznene,Adli / Cezai (kadın) (genitiv) (çoğul)
Kaznene evidencije,Sabıka kaydından / Adli sicil kaydı
Kaznila,Cezalandırdı (geçmiş)
Kazniti,Cezalandırmak (fiil)
Kaže,Diyor (o)
Kažeš,Diyorsun (sen)
Kbinetom,Çalışma odasıyla (instrumental)
Kćerka,Kız evlat
Kebab / Ćevap,Kebap
Kek / Kolač / Torta,Kek
Keniji,Kenya
Keramička / Keramički,Seramik
Keratinska,Keratin
Kesa,Plastik ve ya kağıt poşet / Kese
Kesu,Poşeti (akuzativ)
Kičma,Bel / Omurga
Kifla,Kruvasan
Kiflu,Kruvasan poğaça gibi hamur işleri
Kijam,Hapşırıyorum (ben)
Kijati,Hapşırmak (fiil)
Kikirikija / Kikiriki,Yer fıstığı
Kilogram,Kilogram
Kilograma,Kilogramın / Kilogramdan (genitiv)
Kilometara,Kilometre (çoğul)
Kilometera,Kilometre
Kilometre,Kilometre
Kim,Kim (soru)
Kina,Çin
Kineski,Çince / Çin'e ait
Kineskinja,Çinli (kadın)
Kineskinje,Çinliler (kadın)
Kinez,Çinli (erkek)
Kinezi,Çinliler (erkek)
Kiosci,Kiosklar
Kipar,Kıbrıs
Kisela,Ekşi (dişi)
Kiseli,Ekşi (çoğul)
Kiselo,Ekşi (nötr)
Kiselo mlijeko,Ekşi süt / Kefir
Kiseo,Ekşi (erkek)
Kisjela,Ekşi (kadın)
Kisjelo,Ekşi
Kisjelo mlijeko,Yoğurt / Ekşi süt (katı yoğurt)
Kisolo,Ekşi (nötr)
Kiša,Yağmur (hava olayı)
Kišobran,Şemsiye (erkek)
Kišobrani,Şemsiyeler
Kišom,Yağmurlu / Yağmurla (instrumental)
Kivi,Kivi (meyve)
Klađenje,Bahis
Klanjan,Eğildi
Klanjanjem,Ibadet
Klanjao,Tapınılan
Klapa / Poklopcem,Kapak
Klase,Sınıf
Klasičan,Klasik
Klasična muzika,Klasik müzik
Klasični,Klasik (erkek) (çoğul)
Klasično,Klasik / Gelenksel (nötr)
Klasičnu,Klasik (kadın)
Klasičnu muziku,Klasik müziği
Klijent,Müşteri (erkek)
Klijente,Müşteriler (akuzativ)
Klik do linka,Bağlantıya tıklayın
Klik ovdje da vidiš o njemu,Onun hakkında bilgi almak için buraya tıklayın
Klikni / Kliknite,Tıklamak
Klikom,Tıklayarak / Tıklamayla
Klikova,Tıklamalar
Klima,Klima
Klima-uređaj,Klima / Klima cihazı
Klimu,İklim
Klinac,Çocuk / Erkek çocuk (argo) (sevecen ifade)
Klince,Çocuklar (argo) (sevecen ifade)
Klizati,Kaymak (fiil) (tamamlanmamış)
Kliznuti,Kaymak / Paten yapmak (tamamlanmış) (fiil)
Klub,Kulüp
Kluba,Kulübe (dativ) 
Klubova,Kulüplerinin / Kulüplerin (genitiv)
Klubu,Kulüpte (lokativ)
Klupa,Sıra / Oturma yeri
Klupe,Sıralar / Oturma yerleri
Ključ,Anahtar
Ključan,Ana / Önemli
Ključeva,Anahtarların (genitiv)
Ključevi,Anahtarlar
Ključna,Kilit / ana / Önemli (kadın)
Ključne,Temel / Önemli / Anahtar
Ključnim,Kilit / Kritik (dativ) (lokativ) (çoğul)
Kljućne / Ključu,Anahtar
Knedle,Köfte
Knjiga,Kitap
Knjige,Kitaplar
Knjigu,Kitabı (akuzativ)
Knjižara,Kitapçı
Knjiženja,Ilanlar
Književnica,Yazar / Edebiyatçı (kadın)
Književnik,Yazar / Edebiyatçı (erkek)
Ko,Kim (soru) (Sırpça)
Ko god,Kim olursa olsun
Ko je,o kim / kim o (soru)
Ko je ovo,Bu kim (soru)
Ko radi,Kim ne yapıyor (soru)
Ko sam,Ben kimim? (soru)
Ko si,Sen kimsin (soru)
Ko smo,Biz kimiz (soru)
Ko ste,Kimsiniz (soru)
Ko su,Onlar kim (soru)
Koalicija,Koalisyon (kadın)
Koaliciju,Koalisyon (akuzativ)
Koalicioni,Koalisyonla ilgili
Koalicionih partnera,Koalisyon ortaklarının
Koalicionim,Koalisyonla ilgili
Kobasica,Sosis
Kočnica,Engel / Fren
Kod,Yanında / Yakınında / Evde (edat) / Kod
Kod kuće,Evde
Kod kuće i u pokretu,Evde ve yolda
Kodu,Koda / kodda (dativ) (lokativ)
Kofer,Bavul / Valiz
Kofere,Bavullara (dativ) / Bavulları (akuzativ)
Koga,Kime / Kimi / Kimin yanına (soru) (zamir)
Koja,Hangi / ki (bağlaç) (Kadın) (soru)
Koja će biti,Hangisi olacak
Koja traje više od,Daha uzun süren
Koje (I),Hangi (nötr) (soru)
Koje (II),Ki / -en / -an / -diği / -dığı
Koje je,Nedir (soru)
Kojeg,Hangi (erkek) (soru) (nesne) (genitiv)
Kojem,Hangi (erkek) (nötr) (soru)
Koji,Hangi / Hangisi (erkek) (soru) / ki / kim / -diği
Koji (II),Ki onlar
Koji će,Kim yapacak
Koji će se i,Bu da olacak
Koji govore,Konuşanlar
Koji pomeraju granice	,Sınırları zorlayanlar / Sıradışılar
Koji si,Sen kimsin
Koji su,Hangileri
Koji u ovom,Bunda hangisi
Koji žanr,Hangi tür?
Kojim,Hangi / Neyle (erkek) (nötr) (soru) (instrumental)
Kojima,-ki onlarla (bağlaç)
Kojoj,Kime / Hangi (kadın) (soru)
Kojom,Ile / aracılığıyla (instrumental) 
Koju,Hangi / ki ona / ki o (kadın) (soru) (akuzativ)
Koka Kola,Coca Cola / Kola (içecek)
Kokaina,Kokain
Kokos,Hindistan cevizi
Koktel,Kokteyl
Kola,Araba / At arabası / Vagon (çoğul)
Kolač od sira,Cheese kek
Kolače,Kekleri / Pastaları
Kolačici,Kurabiye
Kolaći,Kekler
Koledžu,Kolejin / Koleje (dativ) (lokativ)
Kolega,Meslekdaş
Kolegama,Meslekdaşlara (dativ)
Kolege,Meslekdaşlar
Koleginica,Meslekdaş / İş Arkadaşı (kadın)
Koleginicama,Meslektaşlarına
Kolekcija,Birikim / Koleksiyon
Kolekcijama,Koleksiyonlarda (lokativ)
Kolektiv,Ekip / Topluluk
Kolektivni,Toplu / Kolektif (erkek) (nötr) (nominativ (akuzativ)
Kolektivno,Kolektif / Ortak
Kolektivnog,Kolektifin / Topluluğun (erkek) (nötr) (genitiv)
Kolica,Bebek arabası / Alışveriş arabası
Kolica za posluživanje,Servis arabası
Količina,Miktar / Hacim / Adet / Ölçü (kadın)
Količini,Miktara / Miktarda
Koliki,Ne kadar / Ne büyüklükte (soru)
Koliko,Kaç tane / Ne kadar (soru)
Koliko imaš godina,Kaç yaşındasın (samimi)
Koliko imate godina,Kaç yaşındasın (resmi)
Koliko košta,Ne kadar / Kaç para (soru)
Koliko koštaju,Fiyatları ne kadar? (çoğul)
Kolo,Araba / Otomobil
Koljena,Dizler
Koljenica,Incik
Koljeno,Diz
Kom,İletişim
Kom / Komad / Komada / Komado / Dijelu / Dio,Parça
Komad,Parça / Adet (Nominativ)
Komada,Parça / Parçanın (genitiv) (akuzativ)
Komadima,Parçalar halinde
Kombinacija / Kombinaciju,Kombinasyon
Kombinovano,Kombine
Kombinovati,Birleştirmek (fiil)
Kome,Kime (soru) (erkek) (nötr) (zamir)
Komentar,Yorum
Komentarima,Yorumlarda (lokativ)
Komercijalista,Ticaretçi
Komesara / Komesar,Komiser
Komesarka,Komiser (kadın)
Komesarke ,Komiseri
Komesarkom,Komiser ile
Komfor / Udobnost,Konfor
Komforan / Udobni / Udobna / Opušteno / Opuštenoj,Rahat
Komisija,Komisyon
Komisije,Komisyonlar
Komite,Komiteler
Komiteta,Kurul / Komite
Komoda,Çekmeceli dolap / Şifonyer
Komori / Sobama / Sobe,Odalar
Kompaktan,Kompakt
Kompanija,Şirket (kadın)
Kompanije,Şirketler / Şirketin (genitiv)
Kompjuter,Bilgisayar (gençler arasında kullanılır)
Kompjuterske,Bilgisayarla ilgili
Kompjuteru,Bilgisayarda
Kompletan,Komple / Tümü
Kompletnu,Tam / Eksiksiz
Komponenta,Bileşen / Unsur (kadın)
Kompot,Komposto
Komšija,Komşu (erkek)
Komšinica,Komşu (kadın)
Komunalni,Belediyeye ait
Komunalnih,Belediye ile ilgili / Kentsel
Komunalnih usluga,Belediye hizmetleri
Komunikacije / Komunikacija,Iletişim
Komunikativnost,İletişim becerisi / İletişim yeteneği (kadın)
Konačan,Nihai
Konačna,Kesin / Nihai
Konačno,Sonunda / Nihayet
Konačnu,Sıralama (akuzativ)
Koncentracionog,Konsantrasyon
Koncept,Kavram / Konsept
Koncert,Konser
Koncerte,Konserleri
Kondicija,Kondisyon
Kondiciji,Kondisyonda durumda (lokativ) (kadın)
Konditori,Şekerleme / Tatlı ürünler
Konekcija,Bağlantı
Konferencija,Konferans
Konferencije,Konferanslar
Konferenciji,Konferansa / Konferansta (kadın) (dativ)
Kongres,Kongre
Kongresmeni,Kongre üyeleri
Kongresmenima,Kongre üyeleri (instrumental)
Konkretnim,Beton
Konkurenciji,Rekabet / Rekabette (lokativ)
Konkurs,Ilan / Yarışma / İş duyurusu
Konkursa,İlanın / Yarışmanın / Bşvurunun (genitiv)
Konkurse,İlanları / Başvuruları (akuzativ) (lokativ)
Konkursu,İlanda / Yarışmada (lokativ)
Konobar,Garson (erkek)
Konobara,Garsonu (erkek) (akuzativ)
Konobari,Garsonlar (erkek) (karma)
Konobarica,Garson (kadın)
Konobarice,Garsonlar (kadın)
Konstrukcija,Yapı
Konstrukcije,Yapı / İnşaat / Tasarım
Kontaktira,Temas etmek
Kontaktirajte,İletişim / iletişime geçin
Kontaktirani,İletişime geçecekler
Kontinuiran,Sürekli / Kesintisiz
Kontinuirana,Sürekli / Devam eden
Kontinuirana podrška,Sürekli destek
Kontinuirano,Sürekli / Kesintisiz
Kontinuirano usavršavanje,Sürekli gelişim
Kontinuitetu,Süreklilik / Devamlılık
Konto,Hesap (yaygın kullanılmaz)
Konto stanje,Hesap Durumu
Kontrola,Denetim / Kontrol / İnceleme
Kontrolisano,Kontrollü
Konture,Konturlar
Konvektorska,Konvektör
Konzola,Konsol
Konzumacija,Tüketim
Konj,At
Koordinacija,Koordinasyon
Koordinaciji,Koordinasyon (kadın) (dativ) (lokativ)
Koraci,Adımlar
Koracima,Adımlarla
Korak,Adım (erkek)
Korake,Adımlara / Adım atmaya (akuzativ)
Koraku,Adıma (dativ)
Korisnici,Kullanıcılar
Korisnički,Kullanıcı
Korisničko,Kullanıcı (nötr)
Korisničko ime,Kullanıcı adı
Korisničku,Kullanıcı (kadın)
Korisnik,Kullanıcı
Korisnik,Kullanıcı
Korisnika,Kullanıcının (genitiv)
Korist,Fayda
Koriste,Kullanıyorlar (onlar)
Koristeći,Kullanarak
Koristi,Kullanıyor (o)
Koristili,Kullandınız (geçmiş)
Koristim,Kullanıyorum (ben)
Koristim kremu za sunčanje,Güneş kremi kullanıyorum
Koristimo,Kullanırız (biz)
Koristio,Kullandı (geçmiş)
Koristiš,Kullan (sen)
Koristite,Kullanıyorsunuz (siz)
Koristiti,Kullanmak (fiil)
Korišćenje,Kullanım
Korita,Su yatakları / Ahşap oluklar
Korpa,Sepet / Kutu
Korpa za odlaganje,Depolama sepeti
Korpa za veš,Çamaşır sepeti
Korpe,Sepetler
Korpica ,Küçük sepet
Korpu,Sepeti / Kutuya (akuzativ)
Korupcija,Yolsuzluk
Korupcije,Yolsuzluk (genitiv)
Kosa,Saç (insan)
Kosačica,Çim biçme makinesi
Kose,Saçın (nominativ) / Saçların (akuzativ)
Kosovo,Kosova
Kosti / Koštice,Kemikler
Kosu,Saça yönelik / Saç için
Košarka,Basketbol (spor)
Košarkaš,Basketbolcu
Košarkaši,Basketbolcular
Košarkaški,Basketbolla ilgili
Košarkaškog,Basketbolla ilgili (erkek) (genitiv) (akuzativ)
Košarku,Basketbolu (akuzativ)
Košenja,Biçme
Košta,Maliyet / Fiyat belirtme
Koštaju,Mal oluyor (o) / Fiyatlanıyor (o) (çoğul)
Koštanja,Maliyetler
Koštanje,Maliyetlendirme
Koštati,Mal olmak / Fiatı olmak (fiil)
Košulja,Gömlek (kadın)
Košulje,Gömlekler
Košulju,Gömleği (akuzativ) (kadın)
Kotlet,Pirzola
Kotoru,Kotor 'da
Kovrdžava,Kıvırcık saç
Koža,Deri / Ten
Kožan,Deri (giysi)
Kože,Derinin / Deriler (çoğul) 7 Deriden (genitiv)
Kože,Deriden (genitiv)
Kožna,Deri (giysi) (kadın) (tekil) (nötr) (çoğul)
Kožno,Deri (giysi) (nötr)
Krači,Daha kısa
Kraće,Daha kısa
Kraj,Son / Bitiş
Kraja,Sonun / Bitişin (genitiv)
Krajnje,Son derece / Fazlasıyla
Kraju,Sonunda / Bitişinde
Kral,Kral
Kralja,Kralın (genitiv) / Krala (akuzativ)
Kraljevine,Krallık
Kraljevstvo,Krallık
Kraljica,Kraliçe (kadın)
Kranjska,Karniola
Kranjska kobasica,Karniola sosisi
Krasne,Harika / Çok güzel (kadın) (çoğul)
Krastavac,Salatalık (sebze)
Krastavce,Salatalıkları
Krastavci,Salatalıklar (erkek)
Krasti,Çalmak (hırsızlık yapmak) (fiil)
Kraški vrat,Tütsülenmiş kurutulmuş domuz boyun eti
Kratak,Kısa (erkek) (zaman)
Kratak predah,Kısa bir ara / Kısa bir mola
Kratka,Kısa (kadın) (tekil)
Kratke,Kısa (kadın) (çoğul)
Kratke kose,Kısa saç
Kratko,Kısa (nötr)
Kratkom,Kısa olana / Kısa bir şeye (erkek) (nötr)
Kratkom roku,Kısa sürede
Kratkoročni,Kısa vadeli
Kratošija,Antik yerli üzüm çeşidi (şarap)
Kravata,Kravat
Kravate,Kravatlar
Kravatu,Kravatı (akuzativ) (kadın)
Kravica,İnek
Kreacije,Tasarımlar / Yaratımlar
Kreativan,Yaratıcı (erkek)
Kreativna,Yaratıcı (kadın)
Kreativne,Yaratıcı
Kreativnim,Yaratıcı
Kreativnost / Kreativnosti,Yaratıcılık
Kreće,Hamle
Kreću,Başlar / Hareket eder (o)
Kredit,Kredi
Kredita,Kredinin (genitiv)
Krediti,Krediler
Kreditna kartica,Kredi Kartı
Kreditni,Krediyle ilgili / Kredi
Kreditni referent,Kredi memuru
Kreditnom,Krediyle / Kredi ile ilgili
Kreditnom karticom,Kredi Kartıyla (instrumental)
Kreditnu,Kredi ile ilgili (akuzativ)
Kreiraj,Oluştur / Tasarla (emir) (sen)
Kreiran,Oluşturuldu (geçmiş)
Kreirati,Oluşturmak / Yaratmak (fiil)
Krema,Merhem / Krem (kadın)
Kremasta,Kremsi / Kremalı
Kremu,Krem / Merhem
Kremu za sunčanje,Güneş kremi
Krenite,Devam et
Kretati,Başlamak / Hareket etmek (fiil)
Kretati se,Hareket etmek (fiil)
Krevet,Yatak
Kreveta,Yatağın / Yatakların (genitiv) (akuzativ)
Kreveti,Yataklar
Krevetima,Yataklarla (instrumental)
Krevetom,Yatakla (instrumental)
Krevetu,Yatağa / Yatakta (dativ) (lokativ)
Krije,Gizler
Krilca,Kanatlar
Kriminal / Kriminala,Suç
Kriminala,Suç
Kriminalističke,Kriminal (Soruşturma)
Kriminalne,Suç ile ilgili (kadın) (sıfat)
Kriminalne delatnosti,Suç faaliyetleri
Kriške,Dilimler
Krit,Girit
